sno,Rooms,Bathrooms,Area,Converted_Area,Dogs_allowed,Cats_allowed
132,4,3.0,0,0.0,allowed,allowed
133,1,1.0,0,0.0,allowed,allowed
134,2,2.0,1206sf,1206.0,not allowed,not allowed
135,3,2.0,1600sf,1600.0,not allowed,not allowed
136,4,2.0,1923sf,1923.0,not allowed,not allowed
137,2,2.0,1065sf,1065.0,allowed,allowed
138,2,1.5,897sf,897.0,not allowed,not allowed
140,1,1.0,1400sf,1400.0,not allowed,not allowed
141,2,1.0,0,0.0,allowed,allowed
142,3,2.0,1976sf,1976.0,not allowed,not allowed
143,2,2.0,1167sf,1167.0,not allowed,not allowed
144,1,1.0,0,0.0,not allowed,not allowed
145,3,2.5,1836sf,1836.0,not allowed,not allowed
146,3,3.0,2000sf,2000.0,allowed,allowed
147,1,1.0,0,0.0,not allowed,not allowed
148,3,2.0,1328sf,1328.0,not allowed,not allowed
149,1,1.0,0,0.0,not allowed,not allowed
150,1,1.0,770sf,770.0,not allowed,not allowed
151,1,1.0,689sf,689.0,not allowed,not allowed
152,2,2.0,1027sf,1027.0,allowed,allowed
154,1,1.0,700sf,700.0,not allowed,not allowed
155,3,2.0,0,0.0,not allowed,not allowed
156,4,2.0,1503sf,1503.0,not allowed,not allowed
157,2,1.0,0,0.0,allowed,allowed
158,1,1.0,0,0.0,not allowed,not allowed
159,3,1.5,1202sf,1202.0,not allowed,not allowed
160,4,2.0,1744sf,1744.0,not allowed,not allowed
161,2,2.0,0,0.0,not allowed,not allowed
162,1,1.0,394sf,394.0,not allowed,not allowed
164,1,1.0,740sf,740.0,not allowed,not allowed
165,4,3.5,2112sf,2112.0,not allowed,not allowed
166,3,2.0,1659sf,1659.0,not allowed,not allowed
167,2,1.0,900sf,900.0,allowed,not allowed
168,4,2.0,2525sf,2525.0,not allowed,not allowed
169,2,1.5,1200sf,1200.0,not allowed,not allowed
170,4,2.0,1380sf,1380.0,allowed,allowed
171,3,2.0,0,0.0,not allowed,not allowed
172,4,3.0,1678sf,1678.0,not allowed,not allowed
173,3,2.0,1239sf,1239.0,not allowed,not allowed
174,1,1.0,453sf,453.0,allowed,allowed
175,3,2.5,2058sf,2058.0,not allowed,not allowed
176,6,4.0,3200sf,3200.0,allowed,allowed
178,1,1.0,569sf,569.0,not allowed,not allowed
179,1,1.0,0,0.0,not allowed,not allowed
180,1,1.0,0,0.0,not allowed,not allowed
181,4,4.0,4782sf,4782.0,not allowed,not allowed
182,1,1.0,0,0.0,not allowed,not allowed
183,1,1.0,0,0.0,not allowed,not allowed
184,2,2.0,842sf,842.0,not allowed,not allowed
185,4,2.5,2378sf,2378.0,not allowed,not allowed
186,1,1.0,550sf,550.0,not allowed,not allowed
188,2,1.0,718sf,718.0,not allowed,not allowed
189,2,2.0,0,0.0,allowed,allowed
190,2,2.0,1114sf,1114.0,not allowed,not allowed
191,1,1.0,0,0.0,not allowed,not allowed
192,2,1.0,700sf,700.0,allowed,allowed
193,1,1.5,809sf,809.0,not allowed,not allowed
194,5,4.0,2096sf,2096.0,allowed,allowed
195,6,3.0,2250sf,2250.0,allowed,allowed
196,3,2.0,1496sf,1496.0,not allowed,not allowed
197,2,2.0,1089sf,1089.0,not allowed,not allowed
198,1,2.0,1884sf,1884.0,not allowed,not allowed
199,4,3.0,3000sf,3000.0,not allowed,not allowed
200,1,1.0,0,0.0,not allowed,not allowed
202,3,2.5,1795sf,1795.0,not allowed,not allowed
203,3,2.0,0,0.0,allowed,allowed
204,4,5.0,5472sf,5472.0,not allowed,not allowed
205,1,1.0,1000sf,1000.0,not allowed,not allowed
206,1,1.0,608sf,608.0,not allowed,not allowed
