sno,City,Location,StateCode,CountryCode,Price,Price_INR,Deposite
73,Austin TX,"10300 Morado Cove, Austin, TX 78759, USA",TX,US,"$3,500",260750.0,0.0
74,Austin TX,"507 Sabine Street, Austin, TX 78701, USA",TX,US,"$2,000",149000.0,0.0
75,Austin TX,"Austin, TX",TX,US,"$41,190",3068655.0,0.0
76,Austin TX,"Austin, TX",TX,US,"$44,970",3350265.0,0.0
77,Austin TX,"9517 Eagle Knoll Drive, Austin, TX 78717, USA",TX,US,"$2,550",189975.0,0.0
78,Austin TX,"Ed Bluestein Blvd, Unit 2210",TX,US,"$1,533",114208.5,0.0
79,Austin TX,"3213 Hampton Road, Austin, TX 78705, USA",TX,US,"$4,250",316625.0,0.0
80,Austin TX,"12323 Patron Drive, Austin, TX 78758, USA",TX,US,"$1,595",118827.5,0.0
82,Austin TX,"508 Meadowcreek Circle, Round Rock, TX 78664, USA",TX,US,"$2,100",156450.0,0.0
83,Austin TX,"Austin, TX",TX,US,"$3,930",292785.0,0.0
84,Austin TX,"3402 Clawson Road, Austin, TX 78704, USA",TX,US,"$5,500",409750.0,0.0
85,Austin TX,"Austin, TX",TX,US,"$18,630",1387935.0,0.0
86,Austin TX,"601 Nelray Boulevard, Austin, TX 78751, USA",TX,US,"$1,595",118827.5,0.0
87,Austin TX,"Austin, TX",TX,US,"$21,900",1631550.0,0.0
88,Austin TX,"Austin, TX",TX,US,"$16,170",1204665.0,0.0
89,Austin TX,"Austin, TX",TX,US,"$3,720",277140.0,0.0
90,Austin TX,"7204 Bertram Court, Austin, TX 78741, USA",TX,US,"$2,950",219775.0,0.0
92,Austin TX,"2800 West 45th Street, Austin, TX 78756, USA",TX,US,"$2,995",223127.5,0.0
93,Austin TX,"Austin, TX",TX,US,"$25,500",1899750.0,0.0
94,Austin TX,"1701 Hillcrest Lane, Austin, TX 78721, USA",TX,US,"$2,950",219775.0,0.0
95,Austin TX,"7685 Northcross Drive, Austin, TX 78757, USA",TX,US,"$1,500",111750.0,0.0
96,Austin TX,"1064 Greenbriar Loop, Round Rock, TX 78664, USA",TX,US,"$1,780",132610.0,0.0
97,Austin TX,"2931 East 12th Street, Austin, TX 78702, USA",TX,US,"$1,450",108025.0,0.0
98,Austin TX,"11740 Malamute Road, Manchaca, Travis County, TX 78748, USA",TX,US,"$2,100",156450.0,0.0
99,Austin TX,"2507 Rogge Lane, Austin, TX 78723, USA",TX,US,"$3,400",253300.0,0.0
100,Austin TX,"9700 Carson Creek Boulevard, Austin, TX 78617, USA",TX,US,"$1,575",117337.5,0.0
101,Austin TX,"Austin, TX",TX,US,"$1,020",75990.0,0.0
102,Austin TX,"Fifth & West Residence, 501 West 5th Street, Austin, TX 78701, USA",TX,US,"$3,100",230950.0,0.0
103,Austin TX,"Jonestown, TX",TX,US,"$6,150",458175.0,0.0
104,Austin TX,"10410 Broken Shoe Trail, Austin, TX 78750, USA",TX,US,"$2,295",170977.5,0.0
106,Austin TX,"Austin, TX",TX,US,"$3,480",259260.0,0.0
107,Austin TX,"1706 Alison Ann Court, Pflugerville, TX 78660, USA",TX,US,"$2,750",204875.0,0.0
108,Austin TX,"Austin, TX",TX,US,"$4,770",355365.0,0.0
109,Austin TX,"Austin, TX",TX,US,"$2,400",178800.0,0.0
110,Austin TX,13104 Bennington Lane,TX,US,"$3,000",223500.0,74500.0
111,Austin TX,"12004 Thompkins Drive, Austin, TX 78753, USA",TX,US,"$2,100",156450.0,0.0
112,Austin TX,"2508 Sonoma Cove, Travis County, TX 78738, USA",TX,US,"$3,000",223500.0,0.0
113,Austin TX,"469 Rawhide Loop, Round Rock, TX 78681, USA",TX,US,"$1,550",115475.0,0.0
114,Austin TX,"Austin, TX",TX,US,"$8,880",661560.0,0.0
116,Austin TX,"6720 Quinton Drive, Austin, TX 78747, USA",TX,US,"$1,100",81950.0,0.0
117,Austin TX,"Austin, TX",TX,US,"$3,960",295020.0,0.0
118,Austin TX,"Austin, Spice Forest, TX, US",TX,US,$798,59451.0,0.0
119,Austin TX,"1402 Meander Drive, Austin, TX 78721, USA",TX,US,"$2,800",208600.0,0.0
120,Austin TX,"4902 Gladeview Drive, Austin, TX 78745, USA",TX,US,"$2,200",163900.0,0.0
121,Austin TX,"Austin, TX",TX,US,"$4,110",306195.0,0.0
122,Austin TX,"9004 Sanger Drive, Austin, TX 78748, USA",TX,US,"$1,875",139687.5,0.0
123,Austin TX,"Austin, TX",TX,US,"$10,590",788955.0,0.0
124,Austin TX,"12315 Maypole Bend, Austin, TX 78717, USA",TX,US,"$2,500",186250.0,0.0
125,Austin TX,"1100 Brass Street, Austin, TX 78702, USA",TX,US,"$4,000",298000.0,0.0
126,Austin TX,"11213 Ranch Road 2222, Austin, TX 78730, USA",TX,US,"$1,850",137825.0,0.0
127,Austin TX,"673 Noatak Trail, Pflugerville, TX 78660, USA",TX,US,"$2,950",219775.0,0.0
128,Austin TX,"912 South 5th Street, Austin, TX 78704, USA",TX,US,"$13,000",968500.0,0.0
130,Austin TX,"Round Rock, TX",TX,US,"$22,050",1642725.0,0.0
131,Austin TX,"Austin, TX",TX,US,"$30,000",2235000.0,0.0
132,Austin TX,"Austin, TX",TX,US,"$22,290",1660605.0,0.0
133,Austin TX,"Austin, TX",TX,US,"$5,250",391125.0,0.0
134,Austin TX,"5328 Balcones Drive, Austin, TX 78731, USA",TX,US,"$1,775",132237.5,0.0
135,Austin TX,"5700 Avenue D, Austin, TX 78752, USA",TX,US,"$3,950",294275.0,0.0
136,Austin TX,"10004 Parkfield Drive, Austin, TX 78758, USA",TX,US,"$2,495",185877.5,0.0
137,Austin TX,"Austin, TX",TX,US,"$4,260",317370.0,0.0
138,Austin TX,"397 San Jacinto Boulevard, Austin, TX 78701, USA",TX,US,"$2,960",220520.0,0.0
140,Austin TX,"Austin, TX",TX,US,"$7,500",558750.0,0.0
141,Austin TX,"Austin, College Court, TX, US",TX,US,$940,70030.0,0.0
142,Austin TX,"4602 Roundup Trail, Austin, TX 78745, USA",TX,US,"$4,800",357600.0,0.0
143,Austin TX,"1734 Timberwood Drive, Austin, TX 78741, USA",TX,US,"$1,700",126650.0,0.0
144,Austin TX,"Austin, TX",TX,US,"$3,270",243615.0,0.0
145,Austin TX,"2203 Willow Street, Austin, TX 78702, USA",TX,US,"$5,400",402300.0,0.0
146,Austin TX,"Austin, TX",TX,US,"$14,280",1063860.0,0.0
147,Austin TX,"720 Harris Avenue, Austin, TX 78705, USA",TX,US,"$4,500",335250.0,0.0
148,Austin TX,"6903 Skynook Drive, Austin, TX 78745, USA",TX,US,"$2,250",167625.0,0.0
149,Austin TX,"2210 Onion Creek Parkway, Austin, TX 78747, USA",TX,US,$975,72637.5,0.0
150,Austin TX,"360 Condominiums, 360 Nueces Street, Austin, TX 78701, USA",TX,US,"$3,200",238400.0,0.0
151,Austin TX,"West Highland Mall Boulevard, Austin, TX 78752, USA",TX,US,"$4,088",304556.0,0.0
152,Austin TX,"Wells Branch, TX, US",TX,US,"$1,069",79640.5,0.0
154,Austin TX,"1203 West 49th Street, Austin, TX 78756, USA",TX,US,"$1,305",97222.5,0.0
155,Austin TX,"Austin, TX",TX,US,"$18,510",1378995.0,0.0
156,Austin TX,"10610 Berthound Drive, Austin, TX 78758, USA",TX,US,"$2,300",171350.0,0.0
157,Austin TX,"Austin, TX",TX,US,"$8,760",652620.0,0.0
158,Austin TX,"8410 Lyndon Lane, Austin, TX 78729, USA",TX,US,"$1,450",108025.0,0.0
159,Austin TX,"6920 Bryn Mawr Drive, Austin, TX 78723, USA",TX,US,"$3,990",297255.0,0.0
160,Austin TX,"9207 Shady Oaks Drive, Austin, TX 78729, USA",TX,US,"$2,150",160175.0,0.0
161,Austin TX,"Austin, TX",TX,US,"$5,250",391125.0,0.0
162,Austin TX,"3000 Guadalupe Street, Austin, TX 78705, USA",TX,US,"$1,025",76362.5,0.0
164,Austin TX,"Austin, TX",TX,US,"$7,770",578865.0,0.0
165,Austin TX,"516 East Slaughter Lane, Austin, TX 78744, USA",TX,US,"$2,400",178800.0,0.0
166,Austin TX,"Austin, TX",TX,US,"$8,670",645915.0,0.0
167,Austin TX,1405 River Birch Way,TX,US,"$1,225",91262.5,91262.5
168,Austin TX,"2032 Nelson Ranch Loop, Cedar Park, TX 78613, USA",TX,US,"$2,549",189900.5,0.0
169,Austin TX,"2102 West 11th Street, Austin, TX 78703, USA",TX,US,"$2,995",223127.5,0.0
170,Austin TX,2807 Ashdale Drive,TX,US,"$3,100",230950.0,238400.0
171,Austin TX,"Jonestown, TX",TX,US,"$7,860",585570.0,0.0
172,Austin TX,"4423 Diane Drive, Austin, TX 78745, USA",TX,US,"$3,800",283100.0,0.0
173,Austin TX,"Austin, TX",TX,US,"$3,300",245850.0,0.0
174,Austin TX,"Austin, TX",TX,US,"$3,030",225735.0,0.0
175,Austin TX,"6036 Mesa Verde Circle, Austin, TX 78749, USA",TX,US,"$2,595",193327.5,0.0
176,Austin TX,"Austin, TX",TX,US,"$27,780",2069610.0,0.0
178,Austin TX,"1500 East Side Drive, Austin, TX 78704, USA",TX,US,"$1,795",133727.5,0.0
179,Austin TX,"2819 San Gabriel Street, Austin, TX 78705, USA",TX,US,"$2,995",223127.5,0.0
180,Austin TX,"Austin, TX",TX,US,"$7,980",594510.0,0.0
181,Austin TX,"4304 Balcones Drive, Austin, TX 73301, USA",TX,US,"$15,000",1117500.0,0.0
182,Austin TX,"9104 Rockcrest Circle, Austin, TX 78759, USA",TX,US,"$2,750",204875.0,0.0
183,Austin TX,"5703 Gloucester Lane, Austin, TX 78723, USA",TX,US,"$1,495",111377.5,0.0
184,Austin TX,"1010 West 23rd Street, Austin, TX 78705, USA",TX,US,"$1,800",134100.0,0.0
185,Austin TX,"406 Sycamore Drive, Cedar Park, TX 78613, USA",TX,US,"$2,450",182525.0,0.0
186,Austin TX,"2818 Nueces Street, Austin, TX 78705, USA",TX,US,"$1,175",87537.5,0.0
188,Austin TX,"803 West 28th Street, Austin, TX 78705, USA",TX,US,"$1,700",126650.0,0.0
189,Austin TX,"Round Rock, TX",TX,US,"$3,150",234675.0,0.0
190,Austin TX,"16291 Conchos Valley Drive, Brushy Creek, TX 78681, USA",TX,US,"$1,825",135962.5,0.0
191,Austin TX,"11301 Nicole Cove, Austin, TX 78753, USA",TX,US,"$1,450",108025.0,0.0
192,Austin TX,"Austin, TX",TX,US,"$2,580",192210.0,0.0
193,Austin TX,"1221 Barton Hills Drive, Austin, TX 78704, USA",TX,US,"$2,400",178800.0,0.0
194,Austin TX,1703 Deerfield Drive,TX,US,"$5,000",372500.0,372500.0
195,Austin TX,"Austin, TX",TX,US,"$16,500",1229250.0,0.0
196,Austin TX,"3334 Clarksburg Drive, Austin, TX 78745, USA",TX,US,"$2,350",175075.0,0.0
197,Austin TX,"910 Gullett Street, Austin, TX 78702, USA",TX,US,"$3,750",279375.0,0.0
198,Austin TX,"411 Brazos Street, Austin, TX 78701, USA",TX,US,"$4,400",327800.0,0.0
199,Austin TX,"Austin, TX",TX,US,"$18,960",1412520.0,0.0
200,Austin TX,"9803 Chukar Circle, Austin, TX 78758, USA",TX,US,$950,70775.0,0.0
202,Austin TX,"2075 Grow Lane, Austin, TX 78754, USA",TX,US,"$2,399",178725.5,0.0
203,Austin TX,"Austin, TX",TX,US,"$2,250",167625.0,0.0
204,Austin TX,"5005 Calabria Court, Travis County, TX 78736, USA",TX,US,"$13,500",1005750.0,0.0
205,Austin TX,"Austin, TX",TX,US,"$5,250",391125.0,0.0
206,Austin TX,"unnamed road, Austin, TX 78731, USA",TX,US,"$1,200",89400.0,0.0
207,Austin TX,"Round Rock, TX",TX,US,"$2,340",174330.0,0.0
208,Austin TX,"Austin, TX, US",TX,US,"$1,125",83812.5,0.0
209,Austin TX,3233 Harmon Avenue,TX,US,"$1,396",104002.0,0.0
210,Austin TX,"Austin, TX",TX,US,"$36,840",2744580.0,0.0
212,Austin TX,"4361 South Congress Avenue, Austin, TX 78745, USA",TX,US,"$3,200",238400.0,0.0
213,Austin TX,"Austin State Supported Living Center, 2203 West 35th Street, Austin, TX 78703, USA",TX,US,"$4,750",353875.0,0.0
214,Austin TX,"Austin, Milwood, TX, US",TX,US,$992,73904.0,0.0
215,Austin TX,"1012 Bethel Way, Travis County, TX 78764, USA",TX,US,"$2,400",178800.0,0.0
216,Austin TX,"2603 Parker Ln, Unit B",TX,US,"$3,000",223500.0,223500.0
217,Austin TX,"13612 Bullick Hollow Road, Travis County, TX 78726, USA",TX,US,"$3,900",290550.0,0.0
218,Austin TX,"Austin, TX",TX,US,"$6,000",447000.0,0.0
219,Austin TX,"Austin, TX",TX,US,"$9,510",708495.0,0.0
220,Austin TX,"Austin, TX",TX,US,"$7,470",556515.0,0.0
221,Austin TX,"4000 Ranch Road 620 North, Lakeway, TX 78734, USA",TX,US,"$3,400",253300.0,0.0
222,Austin TX,"Austin, TX",TX,US,"$8,820",657090.0,0.0
223,Austin TX,"714 East 45th Street, Austin, TX 78751, USA",TX,US,"$5,500",409750.0,0.0
224,Austin TX,"Austin, TX",TX,US,"$3,480",259260.0,0.0
226,Austin TX,"13202 Marrero Drive, Williamson County, TX 78729, USA",TX,US,"$2,495",185877.5,0.0
227,Austin TX,"1425 Sir Thopas Trail, Austin, TX 78748, USA",TX,US,"$2,300",171350.0,0.0
228,Austin TX,"19909 Sap Cove, Pflugerville, TX 78664, USA",TX,US,"$3,295",245477.5,0.0
229,Austin TX,"5918 Mesa Verde Circle, Austin, TX 78749, USA",TX,US,"$2,400",178800.0,0.0
230,Austin TX,"Austin, TX",TX,US,"$3,750",279375.0,0.0
231,Austin TX,"700 E Wells Branch Pkwy, Unit 7207",TX,US,"$1,999",148925.5,0.0
232,Austin TX,"Austin, TX",TX,US,"$42,270",3149115.0,0.0
233,Austin TX,"Austin, Lakeshore, TX, US",TX,US,$849,63250.5,0.0
234,Austin TX,"5601 Joe Sayers Avenue, Austin, TX 78756, USA",TX,US,"$1,600",119200.0,0.0
236,Austin TX,"Austin, TX",TX,US,"$5,970",444765.0,0.0
237,Austin TX,"2214 Iva Ln, Unit A",TX,US,"$3,600",268200.0,268200.0
238,Austin TX,"Austin, TX",TX,US,"$6,450",480525.0,0.0
239,Austin TX,"1915 Robbins Place, Austin, TX 78705, USA",TX,US,"$3,500",260750.0,0.0
240,Austin TX,"2122 Hancock Drive, Austin, TX 78756, USA",TX,US,"$1,995",148627.5,0.0
241,Austin TX,"5933 East Riverside Drive, Austin, TX 78741, USA",TX,US,"$6,318",470691.0,0.0
242,Austin TX,"Round Rock, TX",TX,US,"$11,970",891765.0,0.0
243,Austin TX,"15004 Antique Finish Drive, Travis County, TX 78766, USA",TX,US,"$2,195",163527.5,0.0
244,Austin TX,"Austin, TX",TX,US,"$2,340",174330.0,0.0
245,Austin TX,"1706 Morrow Street, Austin, TX 78757, USA",TX,US,"$3,295",245477.5,0.0
246,Austin TX,"2001 Faro Drive, Austin, TX 78741, USA",TX,US,"$2,185",162782.5,0.0
247,Austin TX,"Austin, TX",TX,US,"$12,150",905175.0,0.0
248,Austin TX,"Austin, Wooten, TX, US",TX,US,$945,70402.5,0.0
250,Austin TX,"5301 Ravensdale Lane, Austin, TX 78723, USA",TX,US,"$2,200",163900.0,0.0
251,Austin TX,"124 Cumberland Road, Austin, TX 78704, USA",TX,US,"$3,300",245850.0,0.0
252,Austin TX,"Austin, TX",TX,US,"$7,380",549810.0,0.0
253,Austin TX,"7303 Loganberry Drive, Austin, TX 78745, USA",TX,US,"$2,750",204875.0,0.0
254,Austin TX,"Austin, TX",TX,US,"$16,980",1265010.0,0.0
255,Austin TX,"Round Rock, TX",TX,US,"$5,100",379950.0,0.0
256,Austin TX,"Austin, TX",TX,US,"$7,410",552045.0,0.0
257,Austin TX,"Austin, TX",TX,US,"$2,640",196680.0,0.0
258,Austin TX,2017 Bluebonnet Lane,TX,US,"$1,590",118455.0,0.0
260,Austin TX,"10511 Glass Mountain Trail, Austin, TX 78750, USA",TX,US,"$3,200",238400.0,0.0
261,Austin TX,"Austin, TX",TX,US,"$4,350",324075.0,0.0
262,Austin TX,"3000 Speedway, Austin, TX 78705, USA",TX,US,"$3,300",245850.0,0.0
263,Austin TX,"Frankel Loop, Austin, TX 78691, USA",TX,US,"$2,495",185877.5,0.0
264,Austin TX,"Austin, TX",TX,US,"$4,680",348660.0,0.0
265,Austin TX,"Austin, TX",TX,US,"$43,110",3211695.0,0.0
266,Austin TX,"Cambridge Tower, 1801 Lavaca Street, Austin, TX 78701, USA",TX,US,"$3,450",257025.0,0.0
