City,Price,Rooms,Bathrooms,Area,Location,Amenities,Dogs_allowed,Cats_allowed,Deposite
Austin TX,"$4,980",1,1.0,unknown,"Austin, TX","['Air Conditioning', 'Parking', 'Garden']",not allowed,not allowed,0
Austin TX,"$5,910",2,2.0,unknown,"Pflugerville, TX","['Air Conditioning', 'Parking', 'Dishwasher', 'Garden']",allowed,allowed,0
Austin TX,"$2,195",3,2.5,"1,762sf","Winnsboro Loop, Round Rock, TX 78664, USA",[],not allowed,not allowed,0
Austin TX,"$2,300",2,2.0,"1,286sf","1910 Woodland Avenue, Unit B","['Storage', 'Dishwasher', 'Hardwood Floors']",allowed,allowed,"$2,300"
Austin TX,"$3,000",3,1.0,"1,154sf","5913 Sunshine Drive, Austin, TX 78751, USA",[],not allowed,not allowed,0
Austin TX,"$3,800",3,3.5,"2,042sf","10703 Morado Circle, Austin, TX 78759, USA",[],not allowed,not allowed,0
,,,,,,,,,
Austin TX,"$2,595",Studio,1.0,unknown,"1173 Webberville Road, Austin, TX 78721, USA",[],not allowed,not allowed,0
Austin TX,"$2,790",1,1.0,645sf,"Round Rock, East McNeil Road, Round Rock, TX 78680, USA","['Air Conditioning', 'Balcony']",not allowed,not allowed,0
Austin TX,"$4,440",3,3.0,"1,600sf","Austin, TX","['Air Conditioning', 'Parking', 'Dishwasher', 'Garden']",allowed,allowed,0
Austin TX,"$2,000",2,1.0,"1,083sf","711 West 26th Street, Austin, TX 78705, USA",[],not allowed,not allowed,0
Austin TX,"$5,880",2,2.0,"1,100sf","Austin, TX","['Air Conditioning', 'Balcony', 'Elevator', 'Pool', 'Dishwasher', 'Wheelchair Accessible']",not allowed,not allowed,0
Austin TX,"$11,850",5,3.0,"4,500sf","Austin, TX","['Air Conditioning', 'Balcony', 'Parking', 'Dishwasher', 'Garden']",allowed,allowed,0
Austin TX,"$1,700",Studio,1.0,unknown,"1813 Woodland Avenue, Austin, TX 78741, USA",[],not allowed,not allowed,0
Austin TX,"$23,850",8,5.0,"3,415sf","Austin, TX","['Air Conditioning', 'Balcony', 'Parking', 'Dishwasher']",not allowed,not allowed,0
Austin TX,"$2,600",2,1.0,764sf,"1304 Summit Street, Austin, TX 78741, USA",[],not allowed,not allowed,0
,,,,,,,,,
Austin TX,"$2,100",Studio,1.0,unknown,"8612 Bowling Green Drive, Austin, TX 78757, USA",[],not allowed,not allowed,0
Austin TX,"$2,695",3,2.5,"2,331sf","11017 Rio Vista Drive, Austin, TX 78726, USA",[],not allowed,not allowed,0
Austin TX,"$24,870",Studio,1.0,unknown,"Austin, TX","['Air Conditioning', 'Parking']",not allowed,not allowed,0
Austin TX,"$1,695",Studio,1.0,unknown,"2305 Barton Village Circle, Austin, TX 78704, USA",[],not allowed,not allowed,0
Austin TX,"$2,295",3,2.0,"1,633sf","11509 Swearingen Drive, Austin, TX 78758, USA",[],not allowed,not allowed,0
Austin TX,"$3,500",3,2.5,"2,325sf","10300 Morado Cove, Austin, TX 78759, USA",[],not allowed,not allowed,0
Austin TX,"$2,000",1,1.0,753sf,"507 Sabine Street, Austin, TX 78701, USA",[],not allowed,not allowed,0
Austin TX,"$41,190",4,4.0,"1,608sf","Austin, TX","['Air Conditioning', 'Elevator', 'Parking']",allowed,allowed,0
Austin TX,"$44,970",6,6.0,"6,500sf","Austin, TX","['Air Conditioning', 'Balcony', 'Fireplace', 'Parking', 'Pool', 'Dishwasher', 'Garden', 'Wheelchair Accessible']",allowed,allowed,0
Austin TX,"$2,550",4,2.5,"2,687sf","9517 Eagle Knoll Drive, Austin, TX 78717, USA",[],not allowed,not allowed,0
Austin TX,"$1,533",1,1.0,828sf,"Ed Bluestein Blvd, Unit 2210","['Storage', 'Balcony', 'Dishwasher', 'Hardwood Floors', 'Wheelchair Accessible', 'Pool']",allowed,allowed,0
Austin TX,"$4,250",Studio,1.0,unknown,"3213 Hampton Road, Austin, TX 78705, USA",[],not allowed,not allowed,0
Austin TX,"$1,595",Studio,1.0,unknown,"12323 Patron Drive, Austin, TX 78758, USA",[],not allowed,not allowed,0
,,,,,,,,,
Austin TX,"$2,100",3,2.5,"1,712sf","508 Meadowcreek Circle, Round Rock, TX 78664, USA",[],not allowed,not allowed,0
